Model: InDuDoNetPlus - Image Quality Evaluation by Metal Size
Date: 2025-05-12 15:39:11
Results Base Directory: /home/mcosta/PycharmProjects/InDuDoNet_plus/results/deeplesion
Structure: Nested (GT: Xgt, ModelOut: X)
Forced HU eval for image files: True
HU eval range used: [-1000, 3000]
Total files iterated: 2000
Total files with metrics collected: 2000

--- Metrics by Metal Size Group (mean ± std) ---
Group Label                   Count           PSNR(img)             SSIM(img)            PSNR(hu)              SSIM(hu)
-----------------------------------------------------------------------------------------------------------------------
Large       ({1338, 3119}px)    400       35.18 ± 3.84         0.9760 ± 0.0066                 N/A                   N/A
Large-Med   ({688, 1329}px)     400       38.35 ± 3.75         0.9849 ± 0.0041                 N/A                   N/A
Medium      ({182, 371}px)      400       43.64 ± 3.13         0.9911 ± 0.0021                 N/A                   N/A
Med-Small   ({171, 180}px)      400       46.19 ± 2.44         0.9929 ± 0.0020                 N/A                   N/A
Small       ({54, 84}px)        400       46.33 ± 1.84         0.9932 ± 0.0013                 N/A                   N/A
-----------------------------------------------------------------------------------------------------------------------

--- Overall Summary (mean ± std across all successfully processed files) ---
PSNR(img): 41.94 ± 5.42 (from 2000 images)
SSIM(img): 0.9876 ± 0.0076
PSNR(hu): N/A (no valid HU data processed)
SSIM(hu): N/A (no valid HU data processed)

--- Individual File Metrics Log ---
Identifier                     MaskIdx  MaskArea   Group   PSNR(img)   SSIM(img)    PSNR(hu)    SSIM(hu)
img_024/mask_03.png                  2       688      G4       40.89      0.9840         nan         nan
img_024/mask_04.png                  3        84      G1       47.86      0.9933         nan         nan
img_024/mask_05.png                  4       171      G2       47.16      0.9946         nan         nan
img_024/mask_06.png                  5        54      G1       46.39      0.9929         nan         nan
img_024/mask_07.png                  6      1329      G4       43.67      0.9888         nan         nan
img_024/mask_08.png                  7      3119      G5       36.43      0.9794         nan         nan
img_024/mask_09.png                  8       182      G3       44.92      0.9920         nan         nan
img_024/mask_10.png                  9       180      G2       48.30      0.9924         nan         nan
img_025/mask_01.png                  0       371      G3       46.68      0.9924         nan         nan
img_025/mask_02.png                  1      1338      G5       27.32      0.9709         nan         nan
img_025/mask_03.png                  2       688      G4       38.48      0.9835         nan         nan
img_025/mask_04.png                  3        84      G1       45.18      0.9938         nan         nan
img_025/mask_05.png                  4       171      G2       44.42      0.9949         nan         nan
img_025/mask_06.png                  5        54      G1       46.73      0.9935         nan         nan
img_025/mask_07.png                  6      1329      G4       44.32      0.9901         nan         nan
img_025/mask_08.png                  7      3119      G5       39.97      0.9819         nan         nan
img_025/mask_09.png                  8       182      G3       46.11      0.9930         nan         nan
img_025/mask_10.png                  9       180      G2       46.39      0.9933         nan         nan
img_026/mask_01.png                  0       371      G3       43.61      0.9923         nan         nan
img_026/mask_02.png                  1      1338      G5       28.21      0.9739         nan         nan
img_026/mask_03.png                  2       688      G4       40.40      0.9848         nan         nan
img_026/mask_04.png                  3        84      G1       44.65      0.9934         nan         nan
img_026/mask_05.png                  4       171      G2       46.14      0.9947         nan         nan
img_026/mask_06.png                  5        54      G1       44.76      0.9934         nan         nan
img_026/mask_07.png                  6      1329      G4       43.30      0.9894         nan         nan
img_026/mask_08.png                  7      3119      G5       39.25      0.9815         nan         nan
img_026/mask_09.png                  8       182      G3       44.25      0.9922         nan         nan
img_026/mask_10.png                  9       180      G2       44.10      0.9925         nan         nan
img_027/mask_01.png                  0       371      G3       45.97      0.9927         nan         nan
img_027/mask_02.png                  1      1338      G5       38.29      0.9809         nan         nan
img_027/mask_03.png                  2       688      G4       39.25      0.9859         nan         nan
img_027/mask_04.png                  3        84      G1       47.80      0.9940         nan         nan
img_027/mask_05.png                  4       171      G2       49.36      0.9953         nan         nan
img_027/mask_06.png                  5        54      G1       48.43      0.9946         nan         nan
img_027/mask_07.png                  6      1329      G4       37.95      0.9868         nan         nan
img_027/mask_08.png                  7      3119      G5       36.49      0.9793         nan         nan
img_027/mask_09.png                  8       182      G3       46.58      0.9935         nan         nan
img_027/mask_10.png                  9       180      G2       46.59      0.9930         nan         nan
img_028/mask_01.png                  0       371      G3       42.54      0.9937         nan         nan
img_028/mask_02.png                  1      1338      G5       40.49      0.9879         nan         nan
img_028/mask_03.png                  2       688      G4       42.37      0.9920         nan         nan
img_028/mask_04.png                  3        84      G1       43.78      0.9922         nan         nan
img_028/mask_05.png                  4       171      G2       49.03      0.9952         nan         nan
img_028/mask_06.png                  5        54      G1       43.97      0.9935         nan         nan
img_028/mask_07.png                  6      1329      G4       38.99      0.9874         nan         nan
img_028/mask_08.png                  7      3119      G5       34.87      0.9760         nan         nan
img_028/mask_09.png                  8       182      G3       44.48      0.9915         nan         nan
img_028/mask_10.png                  9       180      G2       43.34      0.9907         nan         nan
img_029/mask_01.png                  0       371      G3       42.21      0.9900         nan         nan
img_029/mask_02.png                  1      1338      G5       39.07      0.9829         nan         nan
img_029/mask_03.png                  2       688      G4       39.48      0.9861         nan         nan
img_029/mask_04.png                  3        84      G1       42.26      0.9904         nan         nan
img_029/mask_05.png                  4       171      G2       42.89      0.9928         nan         nan
img_029/mask_06.png                  5        54      G1       42.93      0.9924         nan         nan
img_029/mask_07.png                  6      1329      G4       38.25      0.9851         nan         nan
img_029/mask_08.png                  7      3119      G5       36.74      0.9756         nan         nan
img_029/mask_09.png                  8       182      G3       42.96      0.9899         nan         nan
img_029/mask_10.png                  9       180      G2       41.98      0.9874         nan         nan
img_030/mask_01.png                  0       371      G3       41.79      0.9872         nan         nan
img_030/mask_02.png                  1      1338      G5       36.42      0.9757         nan         nan
img_030/mask_03.png                  2       688      G4       37.92      0.9818         nan         nan
img_030/mask_04.png                  3        84      G1       45.08      0.9906         nan         nan
img_030/mask_05.png                  4       171      G2       44.37      0.9916         nan         nan
img_030/mask_06.png                  5        54      G1       45.71      0.9917         nan         nan
img_030/mask_07.png                  6      1329      G4       33.71      0.9801         nan         nan
img_030/mask_08.png                  7      3119      G5       29.98      0.9630         nan         nan
img_030/mask_09.png                  8       182      G3       45.60      0.9906         nan         nan
img_030/mask_10.png                  9       180      G2       45.57      0.9904         nan         nan
img_031/mask_01.png                  0       371      G3       40.34      0.9869         nan         nan
img_031/mask_02.png                  1      1338      G5       34.79      0.9736         nan         nan
img_031/mask_03.png                  2       688      G4       37.62      0.9809         nan         nan
img_031/mask_04.png                  3        84      G1       44.32      0.9917         nan         nan
img_031/mask_05.png                  4       171      G2       42.60      0.9908         nan         nan
img_031/mask_06.png                  5        54      G1       44.15      0.9923         nan         nan
img_031/mask_07.png                  6      1329      G4       33.92      0.9783         nan         nan
img_031/mask_08.png                  7      3119      G5       30.09      0.9596         nan         nan
img_031/mask_09.png                  8       182      G3       42.23      0.9904         nan         nan
img_031/mask_10.png                  9       180      G2       42.43      0.9906         nan         nan
img_032/mask_01.png                  0       371      G3       41.65      0.9878         nan         nan
img_032/mask_02.png                  1      1338      G5       35.48      0.9752         nan         nan
img_032/mask_03.png                  2       688      G4       38.61      0.9828         nan         nan
img_032/mask_04.png                  3        84      G1       42.86      0.9906         nan         nan
img_032/mask_05.png                  4       171      G2       42.49      0.9915         nan         nan
img_032/mask_06.png                  5        54      G1       44.09      0.9916         nan         nan
img_032/mask_07.png                  6      1329      G4       33.89      0.9800         nan         nan
img_032/mask_08.png                  7      3119      G5       29.88      0.9637         nan         nan
img_032/mask_09.png                  8       182      G3       43.25      0.9903         nan         nan
img_032/mask_10.png                  9       180      G2       43.13      0.9901         nan         nan
img_033/mask_01.png                  0       371      G3       42.05      0.9886         nan         nan
img_033/mask_02.png                  1      1338      G5       35.32      0.9771         nan         nan
